State,Congressional District,Land Area,Postal Abbr
Alabama,01,6317.03,AL
Alabama,02,10501.58,AL
Alabama,03,7833.94,AL
Alabama,04,8372.43,AL
Alabama,05,4485.87,AL
Alabama,06,4564.18,AL
Alabama,07,8668.97,AL
Alaska,00,571951.26,AK
Arizona,01,58608.37,AZ
Arizona,02,20219.8,AZ
Arizona,03,598.42,AZ
Arizona,04,199.4,AZ
Arizona,05,1405.79,AZ
Arizona,06,723.64,AZ
Arizona,07,22872.61,AZ
Arizona,08,9006.54,AZ
Arkansas,01,17151.46,AR
Arkansas,02,5922.18,AR
Arkansas,03,8489.91,AR
Arkansas,04,20504.63,AR
California,01,11005.66,CA
California,02,21758.15,CA
California,03,3374.19,CA
California,04,16453.38,CA
California,05,147.02,CA
California,06,1624.55,CA
California,07,349.04,CA
California,08,35.38,CA
California,09,132.29,CA
California,10,1013.31,CA
California,11,2276.88,CA
California,12,116.95,CA
California,13,221.29,CA
California,14,825.65,CA
California,15,286.23,CA
California,16,229.89,CA
California,17,4820.11,CA
California,18,3052.36,CA
California,19,6692.32,CA
California,20,4982.45,CA
California,21,8025.86,CA
California,22,10416.87,CA
California,23,1041.59,CA
California,24,3883.09,CA
California,25,21484.24,CA
California,26,751.9,CA
California,27,150.75,CA
California,28,77.19,CA
California,29,101.4,CA
California,30,285.52,CA
