State,ZCTA,Congressional District,Postal Abbr
Alabama,30165,03,AL
Alabama,31905,03,AL
Alabama,35004,03,AL
Alabama,35005,06,AL
Alabama,35005,07,AL
Alabama,35006,04,AL
Alabama,35006,06,AL
Alabama,35006,07,AL
Alabama,35007,06,AL
Alabama,35010,02,AL
Alabama,35010,03,AL
Alabama,35010,06,AL
Alabama,35013,06,AL
Alabama,35014,03,AL
Alabama,35016,04,AL
Alabama,35019,04,AL
Alabama,35019,05,AL
Alabama,35020,06,AL
Alabama,35020,07,AL
Alabama,35022,06,AL
Alabama,35022,07,AL
Alabama,35023,06,AL
Alabama,35023,07,AL
Alabama,35031,04,AL
Alabama,35031,06,AL
Alabama,35032,03,AL
Alabama,35033,04,AL
Alabama,35034,06,AL
Alabama,35034,07,AL
Alabama,35035,06,AL
Alabama,35036,06,AL
Alabama,35040,06,AL
Alabama,35042,06,AL
Alabama,35043,06,AL
Alabama,35044,03,AL
Alabama,35045,06,AL
Alabama,35046,06,AL
Alabama,35049,06,AL
Alabama,35051,06,AL
Alabama,35052,03,AL
Alabama,35053,04,AL
Alabama,35054,03,AL
Alabama,35055,04,AL
Alabama,35057,04,AL
Alabama,35058,04,AL
Alabama,35060,06,AL
Alabama,35061,06,AL
Alabama,35061,07,AL
Alabama,35062,04,AL
Alabama,35062,06,AL
Alabama,35063,04,AL
Alabama,35063,06,AL
Alabama,35064,07,AL
Alabama,35068,06,AL
Alabama,35068,07,AL
Alabama,35070,04,AL
Alabama,35071,06,AL
Alabama,35072,03,AL
Alabama,35072,06,AL
Alabama,35073,06,AL
Alabama,35074,06,AL
Alabama,35077,04,AL
Alabama,35078,06,AL
Alabama,35079,06,AL
Alabama,35080,06,AL
Alabama,35082,03,AL
Alabama,35083,04,AL
Alabama,35085,06,AL
Alabama,35087,04,AL
Alabama,35087,05,AL
Alabama,35089,03,AL
Alabama,35089,06,AL
Alabama,35091,06,AL
Alabama,35094,03,AL
Alabama,35094,06,AL
Alabama,35096,03,AL
Alabama,35097,06,AL
Alabama,35098,04,AL
Alabama,35111,06,AL
Alabama,35111,07,AL
Alabama,35112,03,AL
Alabama,35114,06,AL
Alabama,35115,06,AL
Alabama,35116,06,AL
Alabama,35117,06,AL
Alabama,35117,07,AL
Alabama,35118,06,AL
Alabama,35118,07,AL
Alabama,35119,06,AL
Alabama,35120,03,AL
Alabama,35121,03,AL
Alabama,35121,04,AL
Alabama,35121,06,AL
Alabama,35124,06,AL
Alabama,35125,03,AL
Alabama,35126,06,AL
Alabama,35127,06,AL
Alabama,35127,07,AL
Alabama,35128,03,AL
Alabama,35130,04,AL
